gameid,date,league,patch,blue,red,blue_win,best_of
LPL/2022 Season/Spring Season_Week 1_1_1,2022-01-10 09:24:00,LPL,12.1,Oh My God,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_1_2,2022-01-10 10:09:00,LPL,12.1,Oh My God,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_2_1,2022-01-10 11:26:00,LPL,12.1,FunPlus Phoenix,Royal Never Give Up,1,1
LPL/2022 Season/Spring Season_Week 1_2_2,2022-01-10 12:18:00,LPL,12.1,FunPlus Phoenix,Royal Never Give Up,0,1
LPL/2022 Season/Spring Season_Week 1_2_3,2022-01-10 13:17:00,LPL,12.1,Royal Never Give Up,FunPlus Phoenix,0,1
LPL/2022 Season/Spring Season_Week 1_3_1,2022-01-11 09:19:00,LPL,12.1,JD Gaming,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_3_2,2022-01-11 10:07:00,LPL,12.1,JD Gaming,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_4_1,2022-01-11 11:22:00,LPL,12.1,LGD Gaming,Anyone's Legend,1,1
LPL/2022 Season/Spring Season_Week 1_4_2,2022-01-11 12:19:00,LPL,12.1,Anyone's Legend,LGD Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_4_3,2022-01-11 13:08:00,LPL,12.1,LGD Gaming,Anyone's Legend,0,1
LCK/2022 Season/Spring Season_Week 1_1_1,2022-01-12 08:27:00,LCK,12.1,DRX,Liiv SANDBOX,0,1
LPL/2022 Season/Spring Season_Week 1_5_1,2022-01-12 09:20:00,LPL,12.1,Rare Atom,Top Esports,1,1
LCK/2022 Season/Spring Season_Week 1_1_2,2022-01-12 09:25:00,LCK,12.1,DRX,Liiv SANDBOX,0,1
LPL/2022 Season/Spring Season_Week 1_5_2,2022-01-12 10:15:00,LPL,12.1,Top Esports,Rare Atom,0,1
LCK/2022 Season/Spring Season_Week 1_2_1,2022-01-12 11:12:00,LCK,12.1,T1,Kwangdong Freecs,1,1
LPL/2022 Season/Spring Season_Week 1_6_1,2022-01-12 11:26:00,LPL,12.1,Ultra Prime,LNG Esports,0,1
LCK/2022 Season/Spring Season_Week 1_2_2,2022-01-12 12:14:00,LCK,12.1,Kwangdong Freecs,T1,0,1
LPL/2022 Season/Spring Season_Week 1_6_2,2022-01-12 12:20:00,LPL,12.1,Ultra Prime,LNG Esports,0,1
LCK/2022 Season/Spring Season_Week 1_3_1,2022-01-13 08:17:00,LCK,12.1,Nongshim RedForce,Hanwha Life Esports,1,1
LCK/2022 Season/Spring Season_Week 1_3_2,2022-01-13 09:16:00,LCK,12.1,Hanwha Life Esports,Nongshim RedForce,1,1
LPL/2022 Season/Spring Season_Week 1_7_1,2022-01-13 09:20:00,LPL,12.1,ThunderTalk Gaming,Invictus Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_7_2,2022-01-13 10:06:00,LPL,12.1,Invictus Gaming,ThunderTalk Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_3_3,2022-01-13 10:14:00,LCK,12.1,Nongshim RedForce,Hanwha Life Esports,0,1
LPL/2022 Season/Spring Season_Week 1_8_1,2022-01-13 11:24:00,LPL,12.1,Team WE,Weibo Gaming,0,1
LCK/2022 Season/Spring Season_Week 1_4_1,2022-01-13 12:06:00,LCK,12.1,KT Rolster,DWG KIA,0,1
LPL/2022 Season/Spring Season_Week 1_8_2,2022-01-13 12:25:00,LPL,12.1,Weibo Gaming,Team WE,1,1
LCK/2022 Season/Spring Season_Week 1_4_2,2022-01-13 13:17:00,LCK,12.1,KT Rolster,DWG KIA,0,1
LPL/2022 Season/Spring Season_Week 1_9_1,2022-01-14 07:20:00,LPL,12.1,LGD Gaming,FunPlus Phoenix,0,1
LCK/2022 Season/Spring Season_Week 1_5_1,2022-01-14 08:10:00,LCK,12.1,DRX,Gen.G,0,1
LPL/2022 Season/Spring Season_Week 1_9_2,2022-01-14 08:16:00,LPL,12.1,LGD Gaming,FunPlus Phoenix,0,1
LCK/2022 Season/Spring Season_Week 1_5_2,2022-01-14 09:04:00,LCK,12.1,Gen.G,DRX,1,1
LPL/2022 Season/Spring Season_Week 1_10_1,2022-01-14 09:23:00,LPL,12.1,Anyone's Legend,Oh My God,0,1
LPL/2022 Season/Spring Season_Week 1_10_2,2022-01-14 10:16:00,LPL,12.1,Oh My God,Anyone's Legend,1,1
LCK/2022 Season/Spring Season_Week 1_6_1,2022-01-14 11:07:00,LCK,12.1,Fredit BRION,T1,1,1
LPL/2022 Season/Spring Season_Week 1_11_1,2022-01-14 11:33:00,LPL,12.1,Royal Never Give Up,JD Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_6_2,2022-01-14 12:14:00,LCK,12.1,T1,Fredit BRION,1,1
LPL/2022 Season/Spring Season_Week 1_11_2,2022-01-14 12:26:00,LPL,12.1,Royal Never Give Up,JD Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_11_3,2022-01-14 13:20:00,LPL,12.1,Royal Never Give Up,JD Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_6_3,2022-01-14 13:24:00,LCK,12.1,Fredit BRION,T1,0,1
LEC/2022 Season/Spring Season_Week 1_1_1,2022-01-14 17:04:00,LEC,12.1,MAD Lions,Team Vitality,1,1
LEC/2022 Season/Spring Season_Week 1_2_1,2022-01-14 17:59:00,LEC,12.1,Rogue (European Team),SK Gaming,1,1
LEC/2022 Season/Spring Season_Week 1_3_1,2022-01-14 18:57:00,LEC,12.1,Excel Esports,G2 Esports,0,1
LEC/2022 Season/Spring Season_Week 1_4_1,2022-01-14 20:03:00,LEC,12.1,Astralis,Misfits Gaming,0,1
LEC/2022 Season/Spring Season_Week 1_5_1,2022-01-14 21:06:00,LEC,12.1,Fnatic,Team BDS,1,1
LCS/2022 Season/Lock In_Day 1_1_1,2022-01-14 22:31:00,LCS,12.1,TSM,100 Thieves,0,1
LCS/2022 Season/Lock In_Day 1_2_1,2022-01-14 23:22:00,LCS,12.1,Cloud9,Golden Guardians,1,1
LCS/2022 Season/Lock In_Day 1_3_1,2022-01-15 00:21:00,LCS,12.1,FlyQuest,TSM,0,1
LCS/2022 Season/Lock In_Day 1_4_1,2022-01-15 01:37:00,LCS,12.1,100 Thieves,Golden Guardians,1,1
LCS/2022 Season/Lock In_Day 1_5_1,2022-01-15 02:34:00,LCS,12.1,Cloud9,FlyQuest,1,1
LPL/2022 Season/Spring Season_Week 1_12_1,2022-01-15 07:19:00,LPL,12.1,ThunderTalk Gaming,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_12_2,2022-01-15 08:04:00,LPL,12.1,ThunderTalk Gaming,EDward Gaming,0,1
LCK/2022 Season/Spring Season_Week 1_7_1,2022-01-15 08:09:00,LCK,12.1,Nongshim RedForce,Liiv SANDBOX,1,1
LCK/2022 Season/Spring Season_Week 1_7_2,2022-01-15 09:04:00,LCK,12.1,Nongshim RedForce,Liiv SANDBOX,1,1
LPL/2022 Season/Spring Season_Week 1_13_1,2022-01-15 09:11:00,LPL,12.1,Top Esports,Ultra Prime,1,1
LPL/2022 Season/Spring Season_Week 1_13_2,2022-01-15 10:08:00,LPL,12.1,Top Esports,Ultra Prime,0,1
LPL/2022 Season/Spring Season_Week 1_13_3,2022-01-15 11:04:00,LPL,12.1,Top Esports,Ultra Prime,1,1
LCK/2022 Season/Spring Season_Week 1_8_1,2022-01-15 11:08:00,LCK,12.1,Kwangdong Freecs,KT Rolster,0,1
LCK/2022 Season/Spring Season_Week 1_8_2,2022-01-15 12:07:00,LCK,12.1,Kwangdong Freecs,KT Rolster,0,1
LPL/2022 Season/Spring Season_Week 1_14_1,2022-01-15 12:18:00,LPL,12.1,Rare Atom,LNG Esports,1,1
LPL/2022 Season/Spring Season_Week 1_14_2,2022-01-15 13:14:00,LPL,12.1,Rare Atom,LNG Esports,0,1
LPL/2022 Season/Spring Season_Week 1_14_3,2022-01-15 14:04:00,LPL,12.1,Rare Atom,LNG Esports,0,1
LEC/2022 Season/Spring Season_Week 1_6_1,2022-01-15 15:58:00,LEC,12.1,Rogue (European Team),Misfits Gaming,1,1
LEC/2022 Season/Spring Season_Week 1_7_1,2022-01-15 16:56:00,LEC,12.1,Excel Esports,Team BDS,0,1
LEC/2022 Season/Spring Season_Week 1_8_1,2022-01-15 17:55:00,LEC,12.1,SK Gaming,MAD Lions,1,1
LEC/2022 Season/Spring Season_Week 1_9_1,2022-01-15 19:22:00,LEC,12.1,G2 Esports,Astralis,1,1
LEC/2022 Season/Spring Season_Week 1_10_1,2022-01-15 20:20:00,LEC,12.1,Team Vitality,Fnatic,0,1
LCS/2022 Season/Lock In_Day 2_1_1,2022-01-15 21:33:00,LCS,12.1,Dignitas,Team Liquid,0,1
LCS/2022 Season/Lock In_Day 2_2_1,2022-01-15 22:23:00,LCS,12.1,Counter Logic Gaming,Immortals,1,1
LCS/2022 Season/Lock In_Day 2_3_1,2022-01-15 23:12:00,LCS,12.1,Team Liquid,Evil Geniuses.NA,0,1
LCS/2022 Season/Lock In_Day 2_4_1,2022-01-16 00:34:00,LCS,12.1,Immortals,Dignitas,0,1
LCS/2022 Season/Lock In_Day 2_5_1,2022-01-16 01:36:00,LCS,12.1,Counter Logic Gaming,Evil Geniuses.NA,0,1
LPL/2022 Season/Spring Season_Week 1_15_1,2022-01-16 07:19:00,LPL,12.1,Oh My God,Invictus Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_9_1,2022-01-16 08:09:00,LCK,12.1,Fredit BRION,Hanwha Life Esports,1,1
LPL/2022 Season/Spring Season_Week 1_15_2,2022-01-16 08:16:00,LPL,12.1,Invictus Gaming,Oh My God,0,1
LCK/2022 Season/Spring Season_Week 1_9_2,2022-01-16 09:05:00,LCK,12.1,Hanwha Life Esports,Fredit BRION,1,1
LPL/2022 Season/Spring Season_Week 1_16_1,2022-01-16 09:21:00,LPL,12.1,Team WE,Victory Five,0,1
LCK/2022 Season/Spring Season_Week 1_9_3,2022-01-16 10:07:00,LCK,12.1,Fredit BRION,Hanwha Life Esports,1,1
LPL/2022 Season/Spring Season_Week 1_16_2,2022-01-16 10:10:00,LPL,12.1,Team WE,Victory Five,1,1
LPL/2022 Season/Spring Season_Week 1_16_3,2022-01-16 11:00:00,LPL,12.1,Victory Five,Team WE,1,1
LCK/2022 Season/Spring Season_Week 1_10_1,2022-01-16 11:48:00,LCK,12.1,DWG KIA,Gen.G,1,1
LPL/2022 Season/Spring Season_Week 1_17_1,2022-01-16 12:18:00,LPL,12.1,Bilibili Gaming,Weibo Gaming,0,1
LCK/2022 Season/Spring Season_Week 1_10_2,2022-01-16 12:50:00,LCK,12.1,Gen.G,DWG KIA,1,1
LPL/2022 Season/Spring Season_Week 1_17_2,2022-01-16 13:08:00,LPL,12.1,Weibo Gaming,Bilibili Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_17_3,2022-01-16 13:57:00,LPL,12.1,Bilibili Gaming,Weibo Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_10_3,2022-01-16 14:05:00,LCK,12.1,DWG KIA,Gen.G,0,1
LEC/2022 Season/Spring Season_Week 1_11_1,2022-01-16 15:56:00,LEC,12.1,Team BDS,Misfits Gaming,0,1
LEC/2022 Season/Spring Season_Week 1_12_1,2022-01-16 16:54:00,LEC,12.1,Excel Esports,Team Vitality,1,1
LEC/2022 Season/Spring Season_Week 1_13_1,2022-01-16 17:52:00,LEC,12.1,Rogue (European Team),Astralis,1,1
LEC/2022 Season/Spring Season_Week 1_14_1,2022-01-16 18:43:00,LEC,12.1,SK Gaming,Fnatic,0,1
LEC/2022 Season/Spring Season_Week 1_15_1,2022-01-16 19:38:00,LEC,12.1,MAD Lions,G2 Esports,1,1
LCS/2022 Season/Lock In_Day 3_1_1,2022-01-16 20:35:00,LCS,12.1,FlyQuest,100 Thieves,1,1
LCS/2022 Season/Lock In_Day 3_2_1,2022-01-16 21:36:00,LCS,12.1,Team Liquid,Counter Logic Gaming,1,1
LCS/2022 Season/Lock In_Day 3_3_1,2022-01-16 22:29:00,LCS,12.1,TSM,Cloud9,0,1
LCS/2022 Season/Lock In_Day 3_4_1,2022-01-16 23:22:00,LCS,12.1,Evil Geniuses.NA,Immortals,1,1
LCS/2022 Season/Lock In_Day 3_5_1,2022-01-17 00:17:00,LCS,12.1,Golden Guardians,FlyQuest,0,1
LPL/2022 Season/Spring Season_Week 2_1_1,2022-01-17 09:20:00,LPL,12.1,ThunderTalk Gaming,Royal Never Give Up,0,1
LPL/2022 Season/Spring Season_Week 2_1_2,2022-01-17 10:26:00,LPL,12.1,Royal Never Give Up,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_2_1,2022-01-17 11:40:00,LPL,12.1,FunPlus Phoenix,Anyone's Legend,1,1
LPL/2022 Season/Spring Season_Week 2_2_2,2022-01-17 12:30:00,LPL,12.1,FunPlus Phoenix,Anyone's Legend,1,1
LPL/2022 Season/Spring Season_Week 2_3_1,2022-01-18 09:19:00,LPL,12.1,LGD Gaming,JD Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_3_2,2022-01-18 10:23:00,LPL,12.1,LGD Gaming,JD Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_4_1,2022-01-18 11:49:00,LPL,12.1,Ultra Prime,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_4_2,2022-01-18 12:41:00,LPL,12.1,Ultra Prime,EDward Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_4_3,2022-01-18 13:34:00,LPL,12.1,Ultra Prime,EDward Gaming,0,1
LCK/2022 Season/Spring Season_Week 2_1_1,2022-01-19 08:07:00,LCK,12.1,Nongshim RedForce,DWG KIA,1,1
LCK/2022 Season/Spring Season_Week 2_1_2,2022-01-19 09:15:00,LCK,12.1,DWG KIA,Nongshim RedForce,1,1
LPL/2022 Season/Spring Season_Week 2_5_1,2022-01-19 09:26:00,LPL,12.1,Team WE,Top Esports,1,1
LPL/2022 Season/Spring Season_Week 2_5_2,2022-01-19 10:16:00,LPL,12.1,Top Esports,Team WE,1,1
LCK/2022 Season/Spring Season_Week 2_1_3,2022-01-19 10:20:00,LCK,12.1,Nongshim RedForce,DWG KIA,1,1
LPL/2022 Season/Spring Season_Week 2_5_3,2022-01-19 11:04:00,LPL,12.1,Team WE,Top Esports,0,1
LCK/2022 Season/Spring Season_Week 2_2_1,2022-01-19 12:04:00,LCK,12.1,KT Rolster,Hanwha Life Esports,1,1
LPL/2022 Season/Spring Season_Week 2_6_1,2022-01-19 12:12:00,LPL,12.1,LNG Esports,Invictus Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_6_2,2022-01-19 13:02:00,LPL,12.1,Invictus Gaming,LNG Esports,0,1
LCK/2022 Season/Spring Season_Week 2_2_2,2022-01-19 13:06:00,LCK,12.1,Hanwha Life Esports,KT Rolster,0,1
LCK/2022 Season/Spring Season_Week 2_3_1,2022-01-20 08:07:00,LCK,12.1,DRX,T1,0,1
LCK/2022 Season/Spring Season_Week 2_3_2,2022-01-20 08:59:00,LCK,12.1,T1,DRX,1,1
LPL/2022 Season/Spring Season_Week 2_7_1,2022-01-20 09:19:00,LPL,12.1,Rare Atom,Victory Five,1,1
LPL/2022 Season/Spring Season_Week 2_7_2,2022-01-20 10:14:00,LPL,12.1,Victory Five,Rare Atom,1,1
LCK/2022 Season/Spring Season_Week 2_4_1,2022-01-20 11:05:00,LCK,12.1,Fredit BRION,Gen.G,0,1
LPL/2022 Season/Spring Season_Week 2_7_3,2022-01-20 11:06:00,LPL,12.1,Rare Atom,Victory Five,0,1
LCK/2022 Season/Spring Season_Week 2_4_2,2022-01-20 12:05:00,LCK,12.1,Fredit BRION,Gen.G,0,1
LPL/2022 Season/Spring Season_Week 2_8_1,2022-01-20 12:20:00,LPL,12.1,Oh My God,Bilibili Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_8_2,2022-01-20 13:14:00,LPL,12.1,Bilibili Gaming,Oh My God,1,1
LPL/2022 Season/Spring Season_Week 2_8_3,2022-01-20 14:03:00,LPL,12.1,Oh My God,Bilibili Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_9_1,2022-01-21 07:19:00,LPL,12.1,Ultra Prime,LGD Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_9_2,2022-01-21 08:05:00,LPL,12.1,LGD Gaming,Ultra Prime,1,1
LCK/2022 Season/Spring Season_Week 2_5_1,2022-01-21 08:07:00,LCK,12.1,Liiv SANDBOX,Kwangdong Freecs,0,1
LPL/2022 Season/Spring Season_Week 2_9_3,2022-01-21 08:50:00,LPL,12.1,Ultra Prime,LGD Gaming,1,1
LCK/2022 Season/Spring Season_Week 2_5_2,2022-01-21 09:05:00,LCK,12.1,Liiv SANDBOX,Kwangdong Freecs,0,1
LPL/2022 Season/Spring Season_Week 2_10_1,2022-01-21 10:06:00,LPL,12.1,Anyone's Legend,Royal Never Give Up,1,1
LPL/2022 Season/Spring Season_Week 2_10_2,2022-01-21 11:00:00,LPL,12.1,Anyone's Legend,Royal Never Give Up,0,1
LCK/2022 Season/Spring Season_Week 2_6_1,2022-01-21 11:08:00,LCK,12.1,Nongshim RedForce,KT Rolster,0,1
LPL/2022 Season/Spring Season_Week 2_10_3,2022-01-21 11:52:00,LPL,12.1,Anyone's Legend,Royal Never Give Up,0,1
LCK/2022 Season/Spring Season_Week 2_6_2,2022-01-21 12:07:00,LCK,12.1,Nongshim RedForce,KT Rolster,1,1
LCK/2022 Season/Spring Season_Week 2_6_3,2022-01-21 13:00:00,LCK,12.1,KT Rolster,Nongshim RedForce,0,1
LPL/2022 Season/Spring Season_Week 2_11_1,2022-01-21 13:02:00,LPL,12.1,Weibo Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_11_2,2022-01-21 13:49:00,LPL,12.1,Weibo Gaming,ThunderTalk Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_11_3,2022-01-21 14:45:00,LPL,12.1,Weibo Gaming,ThunderTalk Gaming,1,1
LEC/2022 Season/Spring Season_Week 2_1_1,2022-01-21 16:58:00,LEC,12.1,Misfits Gaming,Excel Esports,1,1
LEC/2022 Season/Spring Season_Week 2_2_1,2022-01-21 17:53:00,LEC,12.1,Astralis,Fnatic,0,1
LEC/2022 Season/Spring Season_Week 2_3_1,2022-01-21 18:56:00,LEC,12.1,G2 Esports,SK Gaming,1,1
LEC/2022 Season/Spring Season_Week 2_4_1,2022-01-21 19:51:00,LEC,12.1,Team BDS,Team Vitality,0,1
LEC/2022 Season/Spring Season_Week 2_5_1,2022-01-21 20:45:00,LEC,12.1,MAD Lions,Rogue (European Team),0,1
LCS/2022 Season/Lock In_Day 4_1_1,2022-01-21 22:33:00,LCS,12.1,Dignitas,Counter Logic Gaming,0,1
LCS/2022 Season/Lock In_Day 4_2_1,2022-01-21 23:33:00,LCS,12.1,100 Thieves,Cloud9,1,1
LCS/2022 Season/Lock In_Day 4_3_1,2022-01-22 00:27:00,LCS,12.1,Immortals,Team Liquid,0,1
LCS/2022 Season/Lock In_Day 4_4_1,2022-01-22 01:20:00,LCS,12.1,Golden Guardians,TSM,1,1
LCS/2022 Season/Lock In_Day 4_5_1,2022-01-22 02:14:00,LCS,12.1,Evil Geniuses.NA,Dignitas,1,1
LPL/2022 Season/Spring Season_Week 2_12_1,2022-01-22 07:21:00,LPL,12.1,LNG Esports,Team WE,1,1
LPL/2022 Season/Spring Season_Week 2_12_2,2022-01-22 08:06:00,LPL,12.1,LNG Esports,Team WE,1,1
LCK/2022 Season/Spring Season_Week 2_7_1,2022-01-22 08:07:00,LCK,12.1,DWG KIA,Fredit BRION,1,1
LCK/2022 Season/Spring Season_Week 2_7_2,2022-01-22 08:58:00,LCK,12.1,Fredit BRION,DWG KIA,0,1
LPL/2022 Season/Spring Season_Week 2_13_1,2022-01-22 09:18:00,LPL,12.1,FunPlus Phoenix,JD Gaming,1,1
LPL/2022 Season/Spring Season_Week 2_13_2,2022-01-22 10:08:00,LPL,12.1,FunPlus Phoenix,JD Gaming,0,1
LPL/2022 Season/Spring Season_Week 2_13_3,2022-01-22 11:00:00,LPL,12.1,JD Gaming,FunPlus Phoenix,1,1
LCK/2022 Season/Spring Season_Week 2_8_1,2022-01-22 11:06:00,LCK,12.1,Gen.G,Hanwha Life Esports,0,1
LCK/2022 Season/Spring Season_Week 2_8_2,2022-01-22 12:02:00,LCK,12.1,Gen.G,Hanwha Life Esports,1,1
LPL/2022 Season/Spring Season_Week 2_14_1,2022-01-22 12:13:00,LPL,12.1,EDward Gaming,Oh My God,1,1
LPL/2022 Season/Spring Season_Week 2_14_2,2022-01-22 13:01:00,LPL,12.1,EDward Gaming,Oh My God,1,1
LCK/2022 Season/Spring Season_Week 2_8_3,2022-01-22 13:04:00,LCK,12.1,Hanwha Life Esports,Gen.G,0,1
LEC/2022 Season/Spring Season_Week 2_6_1,2022-01-22 15:56:00,LEC,12.1,SK Gaming,Excel Esports,0,1
CBLOL/2022 Season/Split 1_Week 1_1_1,2022-01-22 16:30:00,CBLOL,12.1,LOUD,FURIA,1,1
LEC/2022 Season/Spring Season_Week 2_7_1,2022-01-22 16:58:00,LEC,12.1,MAD Lions,Astralis,1,1
CBLOL/2022 Season/Split 1_Week 1_2_1,2022-01-22 17:49:00,CBLOL,12.1,Netshoes Miners,Flamengo Esports,1,1
LEC/2022 Season/Spring Season_Week 2_8_1,2022-01-22 17:54:00,LEC,12.1,Team BDS,Rogue (European Team),0,1
CBLOL/2022 Season/Split 1_Week 1_3_1,2022-01-22 18:52:00,CBLOL,12.1,KaBuM! Esports,INTZ,1,1
LEC/2022 Season/Spring Season_Week 2_9_1,2022-01-22 19:02:00,LEC,12.1,Fnatic,Misfits Gaming,1,1
CBLOL/2022 Season/Split 1_Week 1_4_1,2022-01-22 19:49:00,CBLOL,12.1,Rensga Esports,RED Canids,0,1
LEC/2022 Season/Spring Season_Week 2_10_1,2022-01-22 19:50:00,LEC,12.1,G2 Esports,Team Vitality,0,1
LCS/2022 Season/Lock In_Quarterfinals_1_1,2022-01-22 21:41:00,LCS,12.1,100 Thieves,Dignitas,0,1
LCS/2022 Season/Lock In_Quarterfinals_1_2,2022-01-22 22:40:00,LCS,12.1,Dignitas,100 Thieves,1,1
LCS/2022 Season/Lock In_Quarterfinals_2_1,2022-01-22 23:39:00,LCS,12.1,Team Liquid,FlyQuest,1,1
LCS/2022 Season/Lock In_Quarterfinals_2_2,2022-01-23 00:32:00,LCS,12.1,FlyQuest,Team Liquid,0,1
LPL/2022 Season/Spring Season_Week 2_15_1,2022-01-23 07:19:00,LPL,12.1,Weibo Gaming,Anyone's Legend,1,1
LPL/2022 Season/Spring Season_Week 2_15_2,2022-01-23 08:02:00,LPL,12.1,Weibo Gaming,Anyone's Legend,1,1
LCK/2022 Season/Spring Season_Week 2_9_1,2022-01-23 08:07:00,LCK,12.1,Liiv SANDBOX,T1,0,1
LCK/2022 Season/Spring Season_Week 2_9_2,2022-01-23 09:03:00,LCK,12.1,Liiv SANDBOX,T1,0,1
LPL/2022 Season/Spring Season_Week 2_16_1,2022-01-23 09:20:00,LPL,12.1,Invictus Gaming,Royal Never Give Up,0,1
LPL/2022 Season/Spring Season_Week 2_16_2,2022-01-23 10:12:00,LPL,12.1,Invictus Gaming,Royal Never Give Up,0,1
LCK/2022 Season/Spring Season_Week 2_10_1,2022-01-23 11:07:00,LCK,12.1,Kwangdong Freecs,DRX,0,1
LPL/2022 Season/Spring Season_Week 2_17_1,2022-01-23 11:23:00,LPL,12.1,Victory Five,Top Esports,0,1
LCK/2022 Season/Spring Season_Week 2_10_2,2022-01-23 12:12:00,LCK,12.1,Kwangdong Freecs,DRX,0,1
LPL/2022 Season/Spring Season_Week 2_17_2,2022-01-23 12:37:00,LPL,12.1,Top Esports,Victory Five,0,1
LPL/2022 Season/Spring Season_Week 2_17_3,2022-01-23 13:35:00,LPL,12.1,Victory Five,Top Esports,1,1
CBLOL/2022 Season/Split 1_Week 1_5_1,2022-01-23 16:18:00,CBLOL,12.1,Liberty,Rensga Esports,1,1
CBLOL/2022 Season/Split 1_Week 1_6_1,2022-01-23 17:17:00,CBLOL,12.1,RED Canids,LOUD,1,1
CBLOL/2022 Season/Split 1_Week 1_7_1,2022-01-23 18:33:00,CBLOL,12.1,INTZ,Netshoes Miners,0,1
CBLOL/2022 Season/Split 1_Week 1_8_1,2022-01-23 19:51:00,CBLOL,12.1,Flamengo Esports,FURIA,0,1
LCS/2022 Season/Lock In_Quarterfinals_3_1,2022-01-23 20:37:00,LCS,12.1,Evil Geniuses.NA,Golden Guardians,1,1
LCS/2022 Season/Lock In_Quarterfinals_3_2,2022-01-23 21:30:00,LCS,12.1,Golden Guardians,Evil Geniuses.NA,0,1
LCS/2022 Season/Lock In_Quarterfinals_4_1,2022-01-23 22:23:00,LCS,12.1,Cloud9,Counter Logic Gaming,1,1
LCS/2022 Season/Lock In_Quarterfinals_4_2,2022-01-23 23:16:00,LCS,12.1,Counter Logic Gaming,Cloud9,1,1
LCS/2022 Season/Lock In_Quarterfinals_4_3,2022-01-24 00:13:00,LCS,12.1,Cloud9,Counter Logic Gaming,1,1
LPL/2022 Season/Spring Season_Week 3_1_1,2022-01-24 09:23:00,LPL,12.1,LGD Gaming,Oh My God,1,1
LPL/2022 Season/Spring Season_Week 3_1_2,2022-01-24 10:21:00,LPL,12.1,Oh My God,LGD Gaming,1,1
LPL/2022 Season/Spring Season_Week 3_1_3,2022-01-24 11:06:00,LPL,12.1,LGD Gaming,Oh My God,1,1
LPL/2022 Season/Spring Season_Week 3_2_1,2022-01-24 12:22:00,LPL,12.1,Bilibili Gaming,Rare Atom,1,1
LPL/2022 Season/Spring Season_Week 3_2_2,2022-01-24 13:18:00,LPL,12.1,Bilibili Gaming,Rare Atom,1,1
LPL/2022 Season/Spring Season_Week 3_3_1,2022-01-25 09:20:00,LPL,12.1,Invictus Gaming,Ultra Prime,0,1
LPL/2022 Season/Spring Season_Week 3_3_2,2022-01-25 10:23:00,LPL,12.1,Ultra Prime,Invictus Gaming,1,1
LPL/2022 Season/Spring Season_Week 3_4_1,2022-01-25 11:33:00,LPL,12.1,Anyone's Legend,ThunderTalk Gaming,0,1
LPL/2022 Season/Spring Season_Week 3_4_2,2022-01-25 12:32:00,LPL,12.1,ThunderTalk Gaming,Anyone's Legend,0,1
LPL/2022 Season/Spring Season_Week 3_4_3,2022-01-25 13:21:00,LPL,12.1,ThunderTalk Gaming,Anyone's Legend,1,1
LCK/2022 Season/Spring Season_Week 3_1_1,2022-01-26 08:06:00,LCK,12.2,Gen.G,Kwangdong Freecs,1,1
LCK/2022 Season/Spring Season_Week 3_1_2,2022-01-26 08:59:00,LCK,12.2,Kwangdong Freecs,Gen.G,0,1
LPL/2022 Season/Spring Season_Week 3_5_1,2022-01-26 09:20:00,LPL,12.1,Weibo Gaming,Victory Five,0,1
LPL/2022 Season/Spring Season_Week 3_5_2,2022-01-26 10:15:00,LPL,12.1,Victory Five,Weibo Gaming,0,1
LPL/2022 Season/Spring Season_Week 3_5_3,2022-01-26 11:02:00,LPL,12.1,Weibo Gaming,Victory Five,1,1
LCK/2022 Season/Spring Season_Week 3_2_1,2022-01-26 11:05:00,LCK,12.2,DRX,Fredit BRION,1,1
LCK/2022 Season/Spring Season_Week 3_2_2,2022-01-26 12:07:00,LCK,12.2,Fredit BRION,DRX,0,1
LPL/2022 Season/Spring Season_Week 3_6_1,2022-01-26 12:17:00,LPL,12.1,LNG Esports,FunPlus Phoenix,1,1
LPL/2022 Season/Spring Season_Week 3_6_2,2022-01-26 13:13:00,LPL,12.1,FunPlus Phoenix,LNG Esports,1,1
