gameid,date,league,patch,blue,red,blue_win,best_of
LTA South/2026 Season/Promotion_Play-In_1_1,2025-09-30 16:09:00,LTA South,25.19,Flamengo MDL,Sicar Esports,1,1
LTA South/2026 Season/Promotion_Play-In_1_2,2025-09-30 16:59:00,LTA South,25.19,Flamengo MDL,Sicar Esports,1,1
LTA South/2026 Season/Promotion_Play-In_1_3,2025-09-30 17:44:00,LTA South,25.19,Flamengo MDL,Sicar Esports,1,1
LCP/2026 Season/Promotion_FFA Round 1_1_1,2025-10-01 05:11:00,LCP,25.19,QT DIG,Deep Cross Gaming,0,1
LCP/2026 Season/Promotion_FFA Round 1_1_2,2025-10-01 06:02:00,LCP,25.19,QT DIG,Deep Cross Gaming,0,1
LCP/2026 Season/Promotion_FFA Round 1_1_3,2025-10-01 06:48:00,LCP,25.19,Deep Cross Gaming,QT DIG,1,1
LCP/2026 Season/Promotion_FFA Round 1_2_1,2025-10-01 07:48:00,LCP,25.19,Saving OCE,Inferno Esports (Filipino Team),1,1
LCP/2026 Season/Promotion_FFA Round 1_2_2,2025-10-01 08:33:00,LCP,25.19,Inferno Esports (Filipino Team),Saving OCE,1,1
LCP/2026 Season/Promotion_FFA Round 1_2_3,2025-10-01 09:25:00,LCP,25.19,Saving OCE,Inferno Esports (Filipino Team),0,1
LCP/2026 Season/Promotion_FFA Round 1_2_4,2025-10-01 10:15:00,LCP,25.19,Inferno Esports (Filipino Team),Saving OCE,1,1
LTA South/2026 Season/Promotion_Round 1_1_1,2025-10-01 16:08:00,LTA South,25.19,Farenvehn,Alpha7 Esports,1,1
LTA South/2026 Season/Promotion_Round 1_1_2,2025-10-01 16:57:00,LTA South,25.19,Alpha7 Esports,Farenvehn,1,1
LTA South/2026 Season/Promotion_Round 1_1_3,2025-10-01 18:03:00,LTA South,25.19,Farenvehn,Alpha7 Esports,0,1
LTA South/2026 Season/Promotion_Round 1_1_4,2025-10-01 18:51:00,LTA South,25.19,Farenvehn,Alpha7 Esports,0,1
LCP/2026 Season/Promotion_FFA Round 2_1_1,2025-10-02 09:40:00,LCP,25.19,Inferno Esports (Filipino Team),Deep Cross Gaming,0,1
LCP/2026 Season/Promotion_FFA Round 2_1_2,2025-10-02 10:27:00,LCP,25.19,Inferno Esports (Filipino Team),Deep Cross Gaming,0,1
LCP/2026 Season/Promotion_FFA Round 2_1_3,2025-10-02 11:07:00,LCP,25.19,Deep Cross Gaming,Inferno Esports (Filipino Team),1,1
LTA South/2026 Season/Promotion_Round 1_2_1,2025-10-02 16:08:00,LTA South,25.19,Isurus,Flamengo MDL,1,1
LTA South/2026 Season/Promotion_Round 1_2_2,2025-10-02 16:59:00,LTA South,25.19,Isurus,Flamengo MDL,1,1
LTA South/2026 Season/Promotion_Round 1_2_3,2025-10-02 17:47:00,LTA South,25.19,Flamengo MDL,Isurus,1,1
LTA South/2026 Season/Promotion_Round 1_2_4,2025-10-02 18:36:00,LTA South,25.19,Isurus,Flamengo MDL,0,1
LTA South/2026 Season/Promotion_Round 1_2_5,2025-10-02 19:36:00,LTA South,25.19,Isurus,Flamengo MDL,1,1
LCP/2026 Season/Promotion_FFA Finals_1_1,2025-10-03 09:41:00,LCP,25.19,Chiefs Esports Club,Deep Cross Gaming,0,1
LCP/2026 Season/Promotion_FFA Finals_1_2,2025-10-03 10:36:00,LCP,25.19,Chiefs Esports Club,Deep Cross Gaming,1,1
LCP/2026 Season/Promotion_FFA Finals_1_3,2025-10-03 11:24:00,LCP,25.19,Deep Cross Gaming,Chiefs Esports Club,1,1
LCP/2026 Season/Promotion_FFA Finals_1_4,2025-10-03 12:17:00,LCP,25.19,Deep Cross Gaming,Chiefs Esports Club,1,1
LTA South/2026 Season/Promotion_Round 2_1_1,2025-10-03 16:08:00,LTA South,25.19,Isurus,Alpha7 Esports,1,1
LTA South/2026 Season/Promotion_Round 2_1_2,2025-10-03 16:56:00,LTA South,25.19,Alpha7 Esports,Isurus,0,1
LTA South/2026 Season/Promotion_Round 2_1_3,2025-10-03 17:47:00,LTA South,25.19,Alpha7 Esports,Isurus,0,1
LCP/2026 Season/Promotion_Regional Merit Match_1_1,2025-10-04 09:41:00,LCP,25.19,MGN Vikings Esports,Saigon Dino,0,1
LCP/2026 Season/Promotion_Regional Merit Match_1_2,2025-10-04 10:37:00,LCP,25.19,MGN Vikings Esports,Saigon Dino,1,1
LCP/2026 Season/Promotion_Regional Merit Match_1_3,2025-10-04 11:28:00,LCP,25.19,Saigon Dino,MGN Vikings Esports,0,1
LCP/2026 Season/Promotion_Regional Merit Match_1_4,2025-10-04 12:11:00,LCP,25.19,Saigon Dino,MGN Vikings Esports,0,1
LTA South/2026 Season/Promotion_Round 1_3_1,2025-10-04 16:07:00,LTA South,25.19,Farenvehn,Flamengo MDL,0,1
LTA South/2026 Season/Promotion_Round 1_3_2,2025-10-04 16:53:00,LTA South,25.19,Farenvehn,Flamengo MDL,1,1
LTA South/2026 Season/Promotion_Round 1_3_3,2025-10-04 17:52:00,LTA South,25.19,Flamengo MDL,Farenvehn,1,1
